,1,2,3,4,5,6,7,8,9,Salary,Projection
75,Jared Cook,Nick Chubb,Cordarrelle Patterson,Chuba Hubbard,Jarvis Landry,Zach Pascal,Deonte Harris,Tyrod Taylor,Washington,42400,103.94
198,Jared Cook,D'Andre Swift,Chuba Hubbard,Brandin Cooks,Jarvis Landry,Zach Pascal,Deonte Harris,Justin Fields,Washington,42300,103.64
76,Jared Cook,Cordarrelle Patterson,Chuba Hubbard,J.D. McKissic,Brandin Cooks,Zach Pascal,Deonte Harris,Daniel Jones,Washington,42100,103.61
333,Jared Cook,Evan Engram,Nick Chubb,Chuba Hubbard,Brandin Cooks,Zach Pascal,Deonte Harris,Daniel Jones,Washington,41500,103.48
199,Jared Cook,Chuba Hubbard,Antonio Gibson,Brandin Cooks,Jaylen Waddle,Zach Pascal,Deonte Harris,Daniel Jones,Washington,42100,103.38000000000001
200,Jared Cook,Cordarrelle Patterson,Chuba Hubbard,Brandin Cooks,Jarvis Landry,Zach Pascal,Deonte Harris,Daniel Jones,Washington,42000,103.33
77,Jared Cook,Nick Chubb,Chuba Hubbard,J.D. McKissic,Brandin Cooks,Zach Pascal,Deonte Harris,Tyrod Taylor,Washington,42000,103.21000000000001
78,Jared Cook,D'Andre Swift,Chuba Hubbard,Antonio Gibson,Jarvis Landry,Zach Pascal,Deonte Harris,Tyrod Taylor,Washington,42200,103.19999999999999
201,Jared Cook,Nick Chubb,Chuba Hubbard,Brandin Cooks,Jarvis Landry,Zach Pascal,Deonte Harris,Tyrod Taylor,Washington,41900,102.93
334,Jared Cook,Gerald Everett,D'Andre Swift,Chuba Hubbard,Brandin Cooks,Zach Pascal,Deonte Harris,Daniel Jones,Washington,41200,102.91
335,Jared Cook,Gerald Everett,D'Andre Swift,Chuba Hubbard,Brandin Cooks,Zach Pascal,Deonte Harris,Daniel Jones,Detroit,41400,102.63
336,Jared Cook,C.J. Uzomah,Nick Chubb,Chuba Hubbard,Brandin Cooks,Zach Pascal,Deonte Harris,Daniel Jones,Washington,41300,102.32000000000001
79,Jared Cook,Nick Chubb,Chuba Hubbard,Antonio Gibson,Jarvis Landry,Zach Pascal,Deonte Harris,Tyrod Taylor,Washington,41900,101.78999999999999
337,Jared Cook,Gerald Everett,Nick Chubb,Chuba Hubbard,Brandin Cooks,Zach Pascal,Deonte Harris,Daniel Jones,Washington,40900,101.5
80,Jared Cook,Chuba Hubbard,Antonio Gibson,J.D. McKissic,Brandin Cooks,Zach Pascal,Deonte Harris,Daniel Jones,Washington,41600,101.46
338,Jared Cook,Evan Engram,D'Andre Swift,Chuba Hubbard,Brandin Cooks,Zach Pascal,Deonte Harris,Tyrod Taylor,Washington,41100,101.44
202,Jared Cook,Chuba Hubbard,J.D. McKissic,Marvin Jones,Brandin Cooks,Zach Pascal,Deonte Harris,Daniel Jones,Washington,41800,101.42999999999999
203,Jared Cook,Chuba Hubbard,Antonio Gibson,Brandin Cooks,Jarvis Landry,Zach Pascal,Deonte Harris,Daniel Jones,Washington,41500,101.17999999999999
81,Jared Cook,Chuba Hubbard,Antonio Gibson,J.D. McKissic,Brandin Cooks,Zach Pascal,Deonte Harris,Daniel Jones,Detroit,41800,101.17999999999999
339,Dallas Goedert,Jared Cook,Cordarrelle Patterson,Chuba Hubbard,Brandin Cooks,Zach Pascal,Deonte Harris,Tyrod Taylor,Washington,41000,101.13999999999999
