,1,2,3,4,5,6,7,8,9,Salary,Projection
706,Nick Boyle,Matt LaCosse,Jacquizz Rodgers,Devontae Booker,Maurice Harris,Jermaine Kearse,Tim Patrick,Nathan Peterman,Buffalo Bills,40300,63.5
707,Nick Boyle,Matt LaCosse,Jacquizz Rodgers,Devontae Booker,Laquon Treadwell,Jermaine Kearse,Tim Patrick,Nathan Peterman,Buffalo Bills,40300,63.5
217,Nick Boyle,Jacquizz Rodgers,C.J. Anderson,Devontae Booker,Josh Doctson,Jermaine Kearse,Tim Patrick,Nathan Peterman,Buffalo Bills,41000,63.400000000000006
708,Darren Fells,Nick Boyle,Jacquizz Rodgers,Devontae Booker,Josh Doctson,Jermaine Kearse,Tim Patrick,Nathan Peterman,Buffalo Bills,40400,63.0
219,Nick Boyle,Spencer Ware,Jacquizz Rodgers,Devontae Booker,Laquon Treadwell,Jermaine Kearse,Tim Patrick,Nathan Peterman,Buffalo Bills,40700,62.5
218,Nick Boyle,Spencer Ware,Jacquizz Rodgers,Devontae Booker,Maurice Harris,Jermaine Kearse,Tim Patrick,Nathan Peterman,Buffalo Bills,40700,62.5
221,Nick Boyle,Jacquizz Rodgers,C.J. Anderson,Devontae Booker,Laquon Treadwell,Jermaine Kearse,Tim Patrick,Nathan Peterman,Buffalo Bills,40800,62.400000000000006
220,Nick Boyle,Jacquizz Rodgers,C.J. Anderson,Devontae Booker,Maurice Harris,Jermaine Kearse,Tim Patrick,Nathan Peterman,Buffalo Bills,40800,62.400000000000006
709,Darren Fells,Nick Boyle,Jacquizz Rodgers,Devontae Booker,Maurice Harris,Jermaine Kearse,Tim Patrick,Nathan Peterman,Buffalo Bills,40200,62.0
710,Darren Fells,Nick Boyle,Jacquizz Rodgers,Devontae Booker,Laquon Treadwell,Jermaine Kearse,Tim Patrick,Nathan Peterman,Buffalo Bills,40200,62.0
467,Nick Boyle,Spencer Ware,Jacquizz Rodgers,Laquon Treadwell,Josh Doctson,Jermaine Kearse,Tim Patrick,Nathan Peterman,Buffalo Bills,40700,60.900000000000006
466,Nick Boyle,Spencer Ware,Jacquizz Rodgers,Maurice Harris,Josh Doctson,Jermaine Kearse,Tim Patrick,Nathan Peterman,Buffalo Bills,40700,60.900000000000006
468,Nick Boyle,Spencer Ware,Jacquizz Rodgers,Maurice Harris,Laquon Treadwell,Jermaine Kearse,Tim Patrick,Nathan Peterman,Buffalo Bills,40500,59.900000000000006
469,Nick Boyle,Jacquizz Rodgers,C.J. Anderson,Maurice Harris,Laquon Treadwell,Jermaine Kearse,Tim Patrick,Nathan Peterman,Buffalo Bills,40600,59.8
711,Nick Boyle,Matt LaCosse,Spencer Ware,Jacquizz Rodgers,Maurice Harris,Jermaine Kearse,Tim Patrick,Nathan Peterman,Buffalo Bills,40000,56.60000000000001
712,Nick Boyle,Matt LaCosse,Spencer Ware,Jacquizz Rodgers,Laquon Treadwell,Jermaine Kearse,Tim Patrick,Nathan Peterman,Buffalo Bills,40000,56.60000000000001
713,Nick Boyle,Matt LaCosse,Jacquizz Rodgers,C.J. Anderson,Maurice Harris,Jermaine Kearse,Tim Patrick,Nathan Peterman,Buffalo Bills,40100,56.5
714,Nick Boyle,Matt LaCosse,Jacquizz Rodgers,C.J. Anderson,Laquon Treadwell,Jermaine Kearse,Tim Patrick,Nathan Peterman,Buffalo Bills,40100,56.5
222,Nick Boyle,Spencer Ware,Jacquizz Rodgers,C.J. Anderson,Maurice Harris,Jermaine Kearse,Tim Patrick,Nathan Peterman,Buffalo Bills,40500,55.5
223,Nick Boyle,Spencer Ware,Jacquizz Rodgers,C.J. Anderson,Laquon Treadwell,Jermaine Kearse,Tim Patrick,Nathan Peterman,Buffalo Bills,40500,55.5
715,Darren Fells,Nick Boyle,Spencer Ware,Jacquizz Rodgers,Maurice Harris,Jermaine Kearse,Tim Patrick,Nathan Peterman,Buffalo Bills,39900,55.10000000000001
716,Darren Fells,Nick Boyle,Spencer Ware,Jacquizz Rodgers,Laquon Treadwell,Jermaine Kearse,Tim Patrick,Nathan Peterman,Buffalo Bills,39900,55.10000000000001
224,Nick Boyle,Spencer Ware,Rashaad Penny,Jacquizz Rodgers,Maurice Harris,Jermaine Kearse,Tim Patrick,Nathan Peterman,Buffalo Bills,40600,55.0
225,Nick Boyle,Spencer Ware,Rashaad Penny,Jacquizz Rodgers,Laquon Treadwell,Jermaine Kearse,Tim Patrick,Nathan Peterman,Buffalo Bills,40600,55.0
