,1,2,3,4,5,6,7,8,9,Salary,Projection
10,Travis Kelce,Phillip Lindsay,Nick Chubb,Adrian Peterson,Adam Thielen,Sammy Watkins,Courtland Sutton,Cam Newton,Broncos,49200,143.2
9,Travis Kelce,Alvin Kamara,Lamar Miller,Adrian Peterson,Sammy Watkins,Cooper Kupp,Courtland Sutton,Cam Newton,Chiefs,49200,143.2
269,Travis Kelce,Alvin Kamara,Nick Chubb,Adam Thielen,Sammy Watkins,Courtland Sutton,Michael Crabtree,Cam Newton,Broncos,49800,143.1
270,Travis Kelce,Nick Chubb,Adrian Peterson,Adam Thielen,Cooper Kupp,Courtland Sutton,Michael Crabtree,Cam Newton,Broncos,49600,142.9
533,Travis Kelce,Austin Hooper,Nick Chubb,Adrian Peterson,Adam Thielen,Sammy Watkins,Cooper Kupp,Cam Newton,Broncos,49600,142.9
12,Travis Kelce,Phillip Lindsay,Nick Chubb,Adrian Peterson,Adam Thielen,Sammy Watkins,Courtland Sutton,Cam Newton,Lions,49000,142.7
11,Travis Kelce,Alvin Kamara,Nick Chubb,Adrian Peterson,Sammy Watkins,Cooper Kupp,Michael Crabtree,Cam Newton,Broncos,49000,142.7
534,Travis Kelce,Austin Hooper,Nick Chubb,Adrian Peterson,Adam Thielen,Sammy Watkins,Cooper Kupp,Cam Newton,Ravens,49800,142.6
13,Travis Kelce,Lamar Miller,Nick Chubb,Adrian Peterson,Adam Thielen,Sammy Watkins,Courtland Sutton,Cam Newton,Broncos,48900,142.6
14,Travis Kelce,Alvin Kamara,Phillip Lindsay,Adrian Peterson,Sammy Watkins,Cooper Kupp,Courtland Sutton,Cam Newton,Lions,48900,142.6
15,Travis Kelce,Alvin Kamara,Lamar Miller,Adrian Peterson,Sammy Watkins,Cooper Kupp,Courtland Sutton,Cam Newton,Broncos,48800,142.5
535,Travis Kelce,Austin Hooper,Nick Chubb,Adrian Peterson,Adam Thielen,Sammy Watkins,Cooper Kupp,Cam Newton,Lions,49400,142.4
271,Travis Kelce,Nick Chubb,Adrian Peterson,Adam Thielen,Cooper Kupp,Courtland Sutton,Michael Crabtree,Cam Newton,Lions,49400,142.4
16,Travis Kelce,Alvin Kamara,Nick Chubb,Adrian Peterson,Sammy Watkins,Cooper Kupp,Courtland Sutton,Cam Newton,Chiefs,48500,142.39999999999998
17,Travis Kelce,Alvin Kamara,Nick Chubb,Adrian Peterson,Sammy Watkins,Cooper Kupp,Courtland Sutton,Cam Newton,Dolphins,48600,142.2
18,Travis Kelce,Lamar Miller,Nick Chubb,Adrian Peterson,Adam Thielen,Sammy Watkins,Courtland Sutton,Cam Newton,Lions,48700,142.1
272,Travis Kelce,Lamar Miller,Nick Chubb,Adam Thielen,Sammy Watkins,Cooper Kupp,Courtland Sutton,Cam Newton,Chiefs,49300,142.0
536,Travis Kelce,Kyle Rudolph,Alvin Kamara,Nick Chubb,Adam Thielen,Cooper Kupp,Courtland Sutton,Cam Newton,Lions,49500,142.0
273,Travis Kelce,Phillip Lindsay,Nick Chubb,Adam Thielen,Sammy Watkins,Cooper Kupp,Courtland Sutton,Cam Newton,Broncos,49200,141.9
274,Travis Kelce,Nick Chubb,Adrian Peterson,Julio Jones,Sammy Watkins,Cooper Kupp,Courtland Sutton,Cam Newton,Chiefs,49100,141.79999999999998
537,Travis Kelce,Austin Hooper,Alvin Kamara,Nick Chubb,Adam Thielen,Sammy Watkins,Courtland Sutton,Cam Newton,Chiefs,49200,141.7
19,Travis Kelce,Alvin Kamara,Nick Chubb,Adrian Peterson,Sammy Watkins,Cooper Kupp,Courtland Sutton,Cam Newton,Broncos,48100,141.7
20,Travis Kelce,Nick Chubb,James Conner,Adrian Peterson,Sammy Watkins,Cooper Kupp,Courtland Sutton,Cam Newton,Chiefs,48400,141.6
538,Travis Kelce,Austin Hooper,Nick Chubb,Adrian Peterson,Adam Thielen,Cooper Kupp,Courtland Sutton,Cam Newton,Chiefs,49000,141.5
276,Travis Kelce,Phillip Lindsay,Nick Chubb,Adam Thielen,Sammy Watkins,Cooper Kupp,Courtland Sutton,Cam Newton,Lions,49000,141.4
275,Travis Kelce,Nick Chubb,Adrian Peterson,Adam Thielen,Marvin Jones Jr.,Sammy Watkins,Courtland Sutton,Cam Newton,Broncos,49000,141.4
21,Travis Kelce,Alvin Kamara,Nick Chubb,Adrian Peterson,Sammy Watkins,Cooper Kupp,Courtland Sutton,Cam Newton,Ravens,48300,141.39999999999998
539,Travis Kelce,Austin Hooper,Nick Chubb,Adrian Peterson,Adam Thielen,Cooper Kupp,Courtland Sutton,Cam Newton,Dolphins,49100,141.3
277,Travis Kelce,Lamar Miller,Nick Chubb,Adam Thielen,Sammy Watkins,Cooper Kupp,Courtland Sutton,Cam Newton,Broncos,48900,141.3
