Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
107295+AC0-92020,QB,Kenny,Kenny Pickett,Pickett,9.5166664124,12,6000,PHI+AEA-TB,PHI,TB,,,,,,QB
107295+AC0-69597,QB,Anthony,Anthony Brown Jr.,Brown Jr.,,0,6000,BUF+AEA-BAL,BUF,BAL,,,,,,QB
107295+AC0-92133,QB,Jason,Jason Bean,Bean,,0,6000,PIT+AEA-IND,IND,PIT,O,Foot,,,,QB
107295+AC0-63469,QB,Ben,Ben DiNucci,DiNucci,,0,6000,BUF+AEA-BAL,BUF,BAL,,,,,,QB
107295+AC0-86080,TE,Kyle,Kyle Pitts,Pitts,6.8333333333,3,5900,NO+AEA-ATL,ATL,NO,,,,,,TE/FLEX
107295+AC0-129291,WR,Tank,Tank Dell,Dell,5.9666665395,3,5900,JAC+AEA-HOU,HOU,JAC,O,Chest,,,,WR/FLEX
107295+AC0-72776,RB,Alexander,Alexander Mattison,Mattison,10.7333335876,3,5900,CLE+AEA-LV,LV,CLE,,,,,,RB/FLEX
107295+AC0-69213,WR,Michael,Michael Pittman Jr.,Pittman Jr.,4.7666667302,3,5900,PIT+AEA-IND,IND,PIT,,,,,,WR/FLEX
107295+AC0-157467,WR,Keon,Keon Coleman,Coleman,5.3333333333,3,5900,BUF+AEA-BAL,BUF,BAL,,,,,,WR/FLEX
107295+AC0-129210,WR,Jordan,Jordan Addison,Addison,5,1,5800,MIN+AEA-GB,MIN,GB,,,,,,WR/FLEX
107295+AC0-151745,WR,Brian,Brian Thomas Jr.,Thomas Jr.,10.1333332062,3,5800,JAC+AEA-HOU,JAC,HOU,,,,,,WR/FLEX
