Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
65568-33702,QB,Ryan,Ryan Griffin,Griffin,,,6000,CHI@TB,TB,CHI,,,,,,QB
65568-56265,TE,Mike,Mike Gesicki,Gesicki,9.200000127156576,6,6000,ATL@MIA,MIA,ATL,,,,,,TE/FLEX
65568-56286,QB,Trace,Trace McSorley,McSorley,3.1000000635782876,3,6000,CIN@BAL,BAL,CIN,,,,,,QB
65568-62566,QB,Travis,Travis Jonsen,Jonsen,,,6000,CHI@TB,TB,CHI,,,,,,QB
65568-64637,QB,Brian,Brian Lewerke,Lewerke,0,1,6000,CAR@NYG,NYG,CAR,,,,,,QB
65568-27801,QB,Nate,Nate Sudfeld,Sudfeld,-0.25999999046325684,2,6000,IND@SF,SF,IND,,,,,,QB
65568-29915,QB,Brett,Brett Hundley,Hundley,0,2,6000,IND@SF,IND,SF,,,,,,QB
65568-130269,QB,Reid,Reid Sinnett,Sinnett,0,1,6000,ATL@MIA,MIA,ATL,,,,,,QB
65568-54507,QB,Alex,Alex McGough,McGough,,,6000,NO@SEA,SEA,NO,,,,,,QB
65568-11500,QB,Colt,Colt McCoy,McCoy,-0.25,2,6000,HOU@ARI,ARI,HOU,,,,,,QB
65568-130334,QB,Jalen,Jalen Morton,Morton,,,6000,IND@SF,IND,SF,,,,,,QB
65568-130337,QB,Case,Case Cookus,Cookus,0,1,6000,PHI@LV,LV,PHI,,,,,,QB
65568-60787,QB,Bryce,Bryce Perkins,Perkins,0,2,6000,DET@LAR,LAR,DET,,,,,,QB
65568-52606,QB,David,David Blough,Blough,1.3799999952316284,2,6000,DET@LAR,DET,LAR,,,,,,QB
65568-69017,QB,Jordan,Jordan Love,Love,0.20999999344348907,2,6000,WAS@GB,GB,WAS,,,,,,QB
65568-32158,QB,Garrett,Garrett Gilbert,Gilbert,7.760000228881836,2,6000,NYJ@NE,NE,NYJ,,,,,,QB
65568-73118,QB,Ian,Ian Book,Book,,,6000,NO@SEA,NO,SEA,,,,,,QB
65568-60840,QB,Jake,Jake Browning,Browning,,,6000,CIN@BAL,CIN,BAL,,,,,,QB
65568-34308,QB,Blake,Blake Bortles,Bortles,0,1,6000,WAS@GB,GB,WAS,,,,,,QB
65568-60947,QB,Jarrett,Jarrett Stidham,Stidham,2.6566665967305503,6,6000,NYJ@NE,NE,NYJ,NA,Back,,,,QB
65568-40482,QB,Tim,Tim Boyle,Boyle,-0.11249999701976776,8,6000,DET@LAR,DET,LAR,IR,Thumb,,,,QB
65568-30253,QB,Jeff,Jeff Driskel,Driskel,8.020000457763672,4,6000,HOU@ARI,HOU,ARI,,,,,,QB
65568-73273,RB,David,David Montgomery,Montgomery,14.199999809265137,4,6000,CHI@TB,CHI,TB,IR,Knee,,,,RB/FLEX
